CensusTract,State,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
12001000200,Florida,Alachua,1,7431,2788,0,1072,0.1442605,0,1,0,1,1,1,66.8,22240,0,1,0,1,0,0,0,1,0,4079.898041,0,0,3164.664203,0,4079.898041,0.549037551,3164.664203,0.425873261,178.6798358,0.024045194,82.05813293,0.011042677,3124.529045,0.420472217,615.178058,0.082785366,155.0458762,0.020864739,2.825835139,0.000380277,12.00000004,0.001614857,170.3192049,0.022920092,439.0122467,0.059078488,183.4694032,0.065806816,95.17209854,0.034136334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5402,328,163,5575,1155,340,7,20,334,838,307,164
12001000301,Florida,Alachua,1,3308,1758,0,19,0.0057437,0,0,0,0,0,1,42.6,46346,0,0,0,0,0,0,0,0,0,348.385395,0,0,255.4952851,0,348.385395,0.10531602,255.4952851,0.077235576,44.71640757,0.013517656,21.52349434,0.006506498,282.5135237,0.085403121,40.4823096,0.012237699,10.43502086,0.00315448,0,0,0.32443884,9.8077E-05,14.63009926,0.004422642,36.3239169,0.010980628,36.45061608,0.020734139,49.15413747,0.02796026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2452,451,248,2301,751,70,0,20,166,332,297,463
12001000302,Florida,Alachua,1,2770,1328,0,24,0.0086643,0,1,0,0,0,1,29.8,43472,0,1,0,1,0,0,0,0,0,624.8071003,0,0,415.6577389,0,624.8071003,0.22556213,415.6577389,0.150056945,126.2010599,0.045559949,58.58115989,0.021148433,315.3781213,0.113854917,273.8318167,0.098856252,7.731587865,0.002791187,0,0,2.860227615,0.001032573,25.00534988,0.009027202,36.42319305,0.013149167,29.6551464,0.022330683,61.45806662,0.046278665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201,547,247,1673,877,77,0,20,123,209,137,235
12001000400,Florida,Alachua,1,5665,2145,0,61,0.0107679,1,1,1,1,1,1,24.2,39525,1,1,1,1,1,0,0,1,949.5165007,3523.735598,949.5165007,650.4703572,1987.854509,650.4703572,3523.735598,0.62201864,1987.854509,0.350901061,1128.780348,0.199255136,238.0476736,0.042020772,880.5203898,0.155431666,2385.978223,0.421178857,53.72029636,0.009482841,0.157755107,2.78473E-05,14.87068966,0.002625011,188.4882387,0.033272416,185.4628368,0.032738365,262.288503,0.122279022,301.6544765,0.140631458,949.5165007,0.167611033,650.4703572,0.114822658,397.5637455,0.070178949,40.09022989,0.007076828,118.1861441,0.020862514,761.098815,0.134351071,8.133157015,0.001435685,0,0,1.377648592,0.000243186,60.72073257,0.010718576,51.9990356,0.009179,140.8161862,0.065648572,79.37233272,0.037003419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3204,1676,496,1857,3437,74,1,22,274,297,338,460
12001000500,Florida,Alachua,1,4976,2417,0,344,0.0691318,1,1,1,1,1,1,29.5,51654,1,1,1,1,1,0,0,1,825.1076365,4269.955708,825.1076365,415.184545,1966.422261,415.184545,4269.955708,0.85811007,1966.422261,0.395181322,521.2118658,0.10474515,330.6719538,0.066453367,3145.961801,0.63222705,850.0008798,0.170820113,74.62096709,0.014996175,2,0.000401929,27.17280891,0.005460773,170.1992464,0.034204029,258.9930054,0.052048434,415.318311,0.171832152,326.7167395,0.135174489,825.1076365,0.165817451,415.184545,0.083437409,104.6508183,0.021031113,35.8721012,0.007209024,546.84096,0.109895691,229.4043188,0.046102154,9.484824777,0.001906114,2,0.000401929,1.576278329,0.000316776,35.80125751,0.007194786,63.30564854,0.012722196,84.2471866,0.034856097,62.36695681,0.025803458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2486,659,423,3621,1030,80,2,33,210,296,467,387
12001000600,Florida,Alachua,1,4350,1556,0,12,0.0027586,0,1,0,1,1,1,41.8,23302,0,1,0,1,0,0,0,1,177.2112444,2011.509129,177.2112444,115.1114193,1304.871347,115.1114193,2011.509129,0.462415892,1304.871347,0.299970425,663.4514444,0.152517573,221.0105819,0.05080703,147.7751493,0.033971299,1812.310416,0.416623084,10.19657281,0.00234404,0,0,4.226900342,0.000971701,37.00010579,0.008505771,48.68387662,0.011191696,198.9490305,0.127859274,311.7794099,0.200372371,177.2112444,0.040738217,115.1114193,0.026462395,70.94799193,0.016309883,6.33224484,0.001455688,21.38227366,0.004915465,153.3607101,0.035255336,0,0,0,0,0,0,2.468261286,0.000567416,4.567567859,0.001050016,21.98310566,0.01412796,29.01601535,0.018647825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2746,1511,463,256,3961,16,0,5,112,95,383,630
12001000700,Florida,Alachua,0,6075,2344,0,20,0.0032922,0,0,0,1,1,1,23,35000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5157.979659,0.84905015,3070.108597,0.50536767,1297.674166,0.213608916,675.3385554,0.11116684,1032.341886,0.169932821,3919.356295,0.64516153,17.59600902,0.002896462,0,0,25.36372178,0.004175098,163.3217573,0.02688424,135.2692106,0.022266537,357.4792884,0.152508229,604.8307228,0.258033585,2301.938818,0.37891997,1381.123294,0.227345398,559.6552739,0.092124325,285.3718168,0.046974785,735.5407339,0.121076664,1462.109303,0.240676428,9.231527762,0.001519593,0,0,10.38347082,0.001709213,84.67379294,0.013938073,71.72327877,0.011806301,133.8956918,0.057122735,267.7867496,0.114243494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3861,1518,825,1155,4699,18,0,27,176,150,394,649
12001000806,Florida,Alachua,1,2180,1031,0,195,0.0894495,0,0,0,0,0,1,49.1,43472,0,0,0,0,0,0,0,0,0,348.4874825,0,0,233.6177346,0,348.4874825,0.159856643,233.6177346,0.107164098,10.90520918,0.00500239,5.78282626,0.002652673,262.1086736,0.120233337,33.67384993,0.01544672,33.83591498,0.015521062,0.088382876,4.05426E-05,0.780495709,0.000358026,18.00017178,0.00825696,41.50631038,0.019039592,20.48769984,0.019871678,19.01110965,0.018439486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1265,106,90,1482,295,277,1,5,120,272,111,103
12001000808,Florida,Alachua,1,3630,1578,0,0,0,0,1,0,0,0,1,33.6,29677,0,1,0,1,0,0,0,0,313.5019635,1878.136474,313.5019635,227.4559082,1303.732735,227.4559082,1878.136474,0.517392968,1303.732735,0.359155023,217.0601341,0.05979618,44.82538916,0.012348592,1099.881974,0.302997789,318.9101677,0.087854041,334.0017353,0.092011497,5.533826888,0.00152447,10.4391571,0.002875801,109.3696108,0.030129369,202.3743197,0.055750501,59.55013165,0.037737726,62.91741363,0.039871618,313.5019635,0.086364177,227.4559082,0.06266003,17.27945185,0.00476018,4.379839256,0.001206567,195.9105006,0.053969835,56.74140382,0.015631241,44.05111589,0.012135294,0.406158984,0.00011189,1.676931679,0.000461965,14.71584731,0.004053952,31.80533498,0.0087618,8.312763836,0.005267911,9.701140545,0.006147744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2206,488,103,1941,728,710,7,14,230,362,190,124
12001000809,Florida,Alachua,1,1364,652,0,348,0.255132,0,1,0,0,0,1,26.7,54875,0,1,0,1,0,0,0,0,134.9042503,1359.661044,134.9042503,64.18938708,646.9463225,64.18938708,1359.661044,0.996818947,646.9463225,0.474300823,69.82782067,0.051193417,188.311285,0.138058127,878.3612735,0.643959878,207.6441618,0.15223179,211.7819011,0.155265323,0,0,4.977042677,0.003648858,56.89669182,0.041713117,96.78190527,0.070954476,81.25663278,0.124626737,62.83846373,0.096378012,134.9042503,0.098903409,64.18938708,0.047059668,10.9623905,0.008036943,6.10699392,0.004477268,83.10715128,0.060928997,25.72478364,0.018859812,18.28208173,0.013403286,0,0,0.549194386,0.000402635,7.241040025,0.00530868,10.81651903,0.007929999,9.751935264,0.014956956,7.541496318,0.011566712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,70,189,882,208,212,0,5,57,97,75,58
